Lon,Lat,Abies alba,Betula pendula,Betula pubescens,Carpinus betulus,Fagus sylvatica,Fraxinus excelsior,Larix decidua,Picea abies,Pinus sylvestris,Pinus halpensis,Populus tremula,Quercus ilex,Quercus pubescens,Quercus robur,Latitude
12.25,60.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.25,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.75,48.25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-2.25,42.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.25,48.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.25,53.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.25,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.75,43.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24.75,61.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.75,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.75,53.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.75,40.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.25,45.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.75,42.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.25,50.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.25,46.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.25,48.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25.25,65.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.75,42.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.75,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.75,40.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.25,63.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28.75,66.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.75,49.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,42.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15.25,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.75,51.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.25,42.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.75,50.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.75,59.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.25,47.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-3.75,39.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.75,48.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23.75,51.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.25,50.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5.75,44.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-6.25,39.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4.25,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.75,43.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.25,63.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.75,53.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.25,43.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26.25,64.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.25,40.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.75,50.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.25,63.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.75,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-3.75,38.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.25,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.25,44.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20.75,53.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14.25,53.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.75,47.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.75,46.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7.75,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16.25,54.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.75,41.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-7.75,43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
